hostname;interface;link_state;admin_state;vlan;ip;description
DC-WAN-RTR-01;Port-channel2.172;up;up;668;192.168.101.57;LINK KC MAYESTIK 192.168.101.58
DC-WAN-RTR-01;Port-channel2.173;up;up;669;192.168.101.37;KCP BARITO 192.168.101.38
DC-WAN-RTR-01;Port-channel2.174;up;up;674;192.168.100.245;KCP JAKA BARING PALEMBANG | 192.168.100.245
DC-WAN-RTR-01;Port-channel2.175;up;up;675;192.168.101.5;KCP SUMANTRI BANDUNG | 192.168.101.5
DC-WAN-RTR-01;Port-channel2.177;up;up;678;192.168.101.53;KCP SAMPANG 192.168.101.54
DC-WAN-RTR-01;Port-channel2.178;up;up;679;10.5.122.129;CMFO_YOGYA
DC-WAN-RTR-01;Port-channel2.179;up;up;680;192.168.102.181;TEST THAMRIN 192.168.102.182
DC-WAN-RTR-01;Port-channel2.180;up;up;691;30.52.8.1;KCP KUNINGAN CIREBON | 30.52.8.1
DC-WAN-RTR-01;Port-channel2.181;up;up;692;192.168.101.49;KCP PARE KEDIRI 192.168.101.50
DC-WAN-RTR-01;Port-channel2.182;up;up;693;192.168.101.217;KC CILEGON
DC-WAN-RTR-01;Port-channel2.183;up;up;707;192.168.100.13;KCP WONOCOLO SURABAYA | 192.168.100.13
DC-WAN-RTR-01;Port-channel2.184;up;up;711;192.168.100.133;KCP PONDOK CABE | 192.168.100.134
DC-WAN-RTR-01;Port-channel2.185;up;up;878;192.168.100.153;KCP PETUKANGAN | 192.168.100.153
DC-WAN-RTR-01;Port-channel2.186;up;up;514;10.98.20.6;KC Madiun Katoharjo
DC-WAN-RTR-01;Port-channel2.187;up;up;882;30.54.42.1;KCP NGAWI | 30.54.42.1
DC-WAN-RTR-01;Port-channel2.188;up;up;893;30.50.84.1;KC KALIBATA | 30.50.84.1
DC-WAN-RTR-01;Port-channel2.189;up;up;894;30.50.71.1;KC GATOT SUBROTO JKT : 30.50.71.1
DC-WAN-RTR-01;Port-channel2.190;up;up;895;30.54.34.1;KCP LAWANG MALANG | 30.54.34.1
DC-WAN-RTR-01;Port-channel2.191;up;up;896;192.168.101.81;KCP JATIBARANG | 192.168.101.81
